name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Acinetobacter proteolyticus	1776741	S	10	0	10	0.00000
Moraxella bovoculi	386891	S	19	1	20	0.00000
Aeromonas hydrophila	644	S	15	21	36	0.00000
Tolumonas auensis	43948	S	10	0	10	0.00000
Spiribacter sp. 2438	2666185	S	13	1	14	0.00000
Methylomonas denitrificans	1538553	S	14	3	17	0.00000
Flagellatimonas centrodinii	2806210	S	17	0	17	0.00000
Xanthobacter autotrophicus	280	S	412	238	650	0.00005
Ancylobacter pratisalsi	1745854	S	10	3	13	0.00000
Aquabacter sp. L1I39	2820278	S	11	3	14	0.00000
Bartonella krasnovii	2267275	S	269	9	278	0.00002
Rhizobium hidalgonense	1538159	S	16	13	29	0.00000
Rhizobium leguminosarum	384	S	11	39	50	0.00000
Agrobacterium tumefaciens	358	S	21	40	61	0.00000
Neorhizobium galegae	399	S	14	4	18	0.00000
Rhodopseudomonas palustris	1076	S	29	11	40	0.00000
Microvirga ossetica	1882682	S	52	9	61	0.00000
Roseibium alexandrii	388408	S	38	8	46	0.00000
Devosia sp. SD17-2	2976459	S	12	8	20	0.00000
Methylosinus sp. C49	2699395	S	19	6	25	0.00000
Salaquimonas pukyongi	2712698	S	37	7	44	0.00000
Bosea beijingensis	3068632	S	13	6	19	0.00000
uncultured Cohaesibacter sp.	1002546	S	11	1	12	0.00000
Acuticoccus sp. I52.16.1	2928472	S	10	2	12	0.00000
Sphingobium yanoikuyae	13690	S	20	67	87	0.00001
Sphingobium naphthae	1886786	S	13	12	25	0.00000
Zymomonas mobilis	542	S	79	33	112	0.00001
Sphingosinicella microcystinivorans	335406	S	11	4	15	0.00000
Salipiger abyssi	1250539	S	11	21	32	0.00000
Phaeobacter inhibens	221822	S	13	16	29	0.00000
Varunaivibrio sulfuroxidans	1773489	S	35	8	43	0.00000
Acetobacter vaccinii	2592655	S	16	2	18	0.00000
Komagataeibacter oboediens	65958	S	12	4	16	0.00000
Burkholderia dolosa	152500	S	1161	8489	9650	0.00073
Burkholderia cepacia	292	S	19	0	19	0.00000
Burkholderia ubonensis	101571	S	10	0	10	0.00000
Burkholderia thailandensis	57975	S	13	66	79	0.00001
Cupriavidus oxalaticus	96344	S	130	16	146	0.00001
Paraburkholderia sp. SUR17	3034358	S	17	14	31	0.00000
Polynucleobacter yangtzensis	1743159	S	14	0	14	0.00000
Ralstonia solanacearum	305	S	46	5	51	0.00000
Hydrogenophaga sp. RAC07	1842537	S	110	21	131	0.00001
Rhodoferax aquaticus	2527691	S	38	2	40	0.00000
Massilia putida	1141883	S	26	6	32	0.00000
Pseudoduganella albidiflava	321983	S	10	3	13	0.00000
Oxalobacter vibrioformis	933080	S	11	0	11	0.00000
Castellaniella ginsengisoli	546114	S	23	13	36	0.00000
Sutterella wadsworthensis	40545	S	34	0	34	0.00000
Sutterella faecalis	2584944	S	14	0	14	0.00000
Eleftheria terrae	1597781	S	10	0	10	0.00000
Paludibacterium yongneupense	400061	S	12	4	16	0.00000
Neisseria leonii	2995413	S	13	12	25	0.00000
Chitiniphilus eburneus	2571148	S	10	1	11	0.00000
Chitinolyticbacter meiyuanensis	682798	S	11	2	13	0.00000
Sulfuricella denitrificans	649841	S	13	0	13	0.00000
Ferrovum myxofaciens	416213	S	16	0	16	0.00000
Acidithiobacillus ferrivorans	160808	S	26	0	26	0.00000
Desulfovibrio desulfuricans	876	S	10195	753	10948	0.00082
Desulfovibrio piger	901	S	245	48	293	0.00002
Desulfovibrio fairfieldensis	44742	S	97	6	103	0.00001
Candidatus Desulfovibrio trichonymphae	1725232	S	65	1	66	0.00000
Desulfovibrio sp. G11	631220	S	27	28	55	0.00000
Desulfovibrio mangrovi	2976983	S	30	3	33	0.00000
Desulfovibrio subterraneus	2718620	S	22	2	24	0.00000
Nitratidesulfovibrio vulgaris	881	S	180	45	225	0.00002
Nitratidesulfovibrio liaohensis	2604158	S	113	28	141	0.00001
uncultured Mailhella sp.	1981031	S	210	50	260	0.00002
Pseudodesulfovibrio mercurii	641491	S	24	38	62	0.00000
Pseudodesulfovibrio portus	231439	S	21	13	34	0.00000
Pseudodesulfovibrio tunisiensis	463192	S	18	2	20	0.00000
Pseudodesulfovibrio aespoeensis	182210	S	17	10	27	0.00000
Pseudodesulfovibrio cashew	2678688	S	12	5	17	0.00000
uncultured Pseudodesulfovibrio sp.	2035858	S	11	3	14	0.00000
Pseudodesulfovibrio indicus	1716143	S	10	10	20	0.00000
Oleidesulfovibrio alaskensis	58180	S	87	36	123	0.00001
Lawsonia intracellularis	29546	S	54	0	54	0.00000
Maridesulfovibrio sp.	2795000	S	44	1	45	0.00000
Solidesulfovibrio magneticus	184917	S	18	4	22	0.00000
Solidesulfovibrio carbinoliphilus	345370	S	18	2	20	0.00000
Solidesulfovibrio carbinolicus	296842	S	13	3	16	0.00000
Taurinivorans muris	2787751	S	32	0	32	0.00000
Desulfolutivibrio sulfoxidireducens	2773299	S	22	2	24	0.00000
Megalodesulfovibrio gigas	879	S	21	1	22	0.00000
Desulfocurvibacter africanus	873	S	20	1	21	0.00000
Oceanidesulfovibrio marinus	370038	S	20	1	21	0.00000
Salidesulfovibrio onnuriiensis	2583823	S	14	3	17	0.00000
Desulfomicrobium orale	132132	S	29	16	45	0.00000
Thermodesulfomicrobium sp. WS	3004129	S	12	2	14	0.00000
Geobacter sp. SVR	2495594	S	16	6	22	0.00000
Geomonas oryzisoli	2847992	S	10	2	12	0.00000
Trichlorobacter lovleyi	313985	S	14	2	16	0.00000
Syntrophotalea carbinolica	19	S	19	0	19	0.00000
Desulfuromonas soudanensis	1603606	S	11	1	12	0.00000
Desulfonema magnum	45655	S	12	5	17	0.00000
Desulfoluna limicola	2810562	S	19	12	31	0.00000
Desulfurivibrio alkaliphilus	427923	S	18	0	18	0.00000
Desulfobulbus oralis	1986146	S	12	0	12	0.00000
Desulfocapsa sulfexigens	65555	S	19	0	19	0.00000
Syntrophus aciditrophicus	316277	S	58	0	58	0.00000
Desulfoferula mesophila	3058419	S	12	0	12	0.00000
Desulfomonile tiedjei	2358	S	15	0	15	0.00000
Campylobacter jejuni	197	S	74	237	311	0.00002
Campylobacter gracilis	824	S	37	0	37	0.00000
Campylobacter coli	195	S	11	3	14	0.00000
Sulfurimonas aquatica	2672570	S	49	5	54	0.00000
Treponema denticola	158	S	24	52	76	0.00001
Treponema socranskii	53419	S	16	5	21	0.00000
Treponema ruminis	744515	S	14	0	14	0.00000
Sphaerochaeta globosa	1131703	S	10	2	12	0.00000
Brachyspira intermedia	84377	S	11	5	16	0.00000
Archangium violaceum	83451	S	23	18	41	0.00000
Cystobacter fuscus	43	S	16	9	25	0.00000
Anaeromyxobacter oryzae	2918170	S	12	2	14	0.00000
Vulgatibacter incomptus	1391653	S	16	1	17	0.00000
Sorangium cellulosum	56	S	21	13	34	0.00000
Occallatibacter riparius	1002689	S	19	2	21	0.00000
Terriglobus albidus	1592106	S	10	1	11	0.00000
Geothrix sp. 21YS21S-2	3068893	S	12	4	16	0.00000
Micavibrio aeruginosavorus	349221	S	44	0	44	0.00000
Bdellovibrio bacteriovorus	959	S	12	1	13	0.00000
Silvanigrella aquatica	1915309	S	39	0	39	0.00000
Enterocloster clostridioformis	1531	S	349863	56253	406116	0.03057
Enterocloster bolteae	208479	S	174855	16206	191061	0.01438
Enterocloster asparagiformis	333367	S	62657	1991	64648	0.00487
Mediterraneibacter gnavus	33038	S	257151	61436	318587	0.02398
[Ruminococcus] torques	33039	S	20697	4923	25620	0.00193
Mediterraneibacter glycyrrhizinilyticus	342942	S	733	153	886	0.00007
[Ruminococcus] lactaris	46228	S	708	74	782	0.00006
Blautia parvula	2877527	S	169192	31836	201028	0.01513
Blautia coccoides	1532	S	11103	13730	24833	0.00187
Blautia obeum	40520	S	7020	1193	8213	0.00062
Blautia luti	89014	S	5754	1192	6946	0.00052
Blautia wexlerae	418240	S	3651	1843	5494	0.00041
Blautia hansenii	1322	S	2840	746	3586	0.00027
Blautia argi	1912897	S	2373	683	3056	0.00023
Blautia pseudococcoides	1796616	S	1824	68	1892	0.00014
Blautia producta	33035	S	1608	2063	3671	0.00028
Blautia sp. SC05B48	2479767	S	1384	1382	2766	0.00021
Blautia hydrogenotrophica	53443	S	786	93	879	0.00007
Blautia liquoris	2779518	S	166	3	169	0.00001
[Clostridium] scindens	29347	S	159861	13743	173604	0.01307
[Clostridium] symbiosum	1512	S	10427	763	11190	0.00084
[Clostridium] hylemonae	89153	S	295	13	308	0.00002
Lachnoclostridium phytofermentans	66219	S	45	0	45	0.00000
Eisenbergiella porci	2652274	S	81749	6623	88372	0.00665
Anaerostipes sp. PC18	3036926	S	65547	10110	75657	0.00569
Anaerostipes caccae	105841	S	4835	758	5593	0.00042
Anaerostipes rhamnosivorans	1229621	S	916	80	996	0.00007
Anaerostipes hadrus	649756	S	486	59	545	0.00004
Sellimonas intestinalis	1653434	S	57887	3677	61564	0.00463
Sellimonas catena	2994035	S	4023	922	4945	0.00037
Sellimonas caecigallum	2592333	S	2502	123	2625	0.00020
Faecalimonas umbilicata	1912855	S	39536	10648	50184	0.00378
Hungatella hathewayi	154046	S	18216	1519	19735	0.00149
Roseburia intestinalis	166486	S	2203	1847	4050	0.00030
Roseburia hominis	301301	S	1253	276	1529	0.00012
Roseburia sp. 499	1261634	S	482	18	500	0.00004
Roseburia sp. 831b	1261635	S	265	14	279	0.00002
Roseburia faecis	301302	S	599	107	706	0.00005
Roseburia rectibacter	2763062	S	152	70	222	0.00002
Wansuia hejianensis	2763667	S	5472	206	5678	0.00043
Agathobacter rectalis	39491	S	4857	1601	6458	0.00049
Dorea longicatena	88431	S	1862	497	2359	0.00018
Dorea formicigenerans	39486	S	1626	442	2068	0.00016
Anaerobutyricum hallii	39488	S	2933	390	3323	0.00025
Butyrivibrio fibrisolvens	831	S	2015	30	2045	0.00015
Butyrivibrio hungatei	185008	S	410	3	413	0.00003
Butyrivibrio proteoclasticus	43305	S	43	0	43	0.00000
Coprococcus comes	410072	S	954	283	1237	0.00009
Coprococcus catus	116085	S	313	55	368	0.00003
Coprococcus eutactus	33043	S	145	97	242	0.00002
Coprococcus sp. ART55/1	751585	S	144	100	244	0.00002
Lacrimispora saccharolytica	84030	S	482	77	559	0.00004
Lacrimispora sp. BS-2	3151850	S	172	36	208	0.00002
Lacrimispora sp. JR3	3111456	S	154	12	166	0.00001
Lacrimispora sp. HJ-01	3375704	S	98	35	133	0.00001
Lacrimispora xylanolytica	29375	S	109	6	115	0.00001
Lacrimispora sphenoides	29370	S	103	40	143	0.00001
Lacrimispora xylanisolvens	384636	S	103	5	108	0.00001
Marvinbryantia formatexigens	168384	S	795	20	815	0.00006
Claveliimonas bilis	3028070	S	595	50	645	0.00005
Anaerocolumna sp. MB42-C2	3070997	S	66	6	72	0.00001
Anaerocolumna sp. AGMB13025	3039116	S	65	1	66	0.00000
Anaerocolumna sp. AGMB13020	3081750	S	36	0	36	0.00000
Anaerocolumna cellulosilytica	433286	S	88	2	90	0.00001
Anaerocolumna chitinilytica	1727145	S	75	1	76	0.00001
Anaerocolumna sedimenticola	2696063	S	35	4	39	0.00000
Simiaoa sunii	2763672	S	347	65	412	0.00003
Novisyntrophococcus fermenticellae	2068655	S	340	11	351	0.00003
Kineothrix sp. IPX-CK	3123317	S	161	5	166	0.00001
Kineothrix sp. MB12-C1	3070215	S	104	3	107	0.00001
Eshraghiella crossota	45851	S	268	28	296	0.00002
Chordicoccus furentiruminis	2709410	S	205	12	217	0.00002
Pseudobutyrivibrio xylanivorans	185007	S	143	1	144	0.00001
Qiania dongpingensis	2763669	S	132	6	138	0.00001
Lachnoanaerobaculum umeaense	617123	S	71	4	75	0.00001
Lachnoanaerobaculum gingivalis	2490855	S	42	2	44	0.00000
Stomatobaculum sp. F0698	3059030	S	108	2	110	0.00001
Wujia chipingensis	2763670	S	87	15	102	0.00001
Lachnospira eligens	39485	S	61	3	64	0.00000
Anaeromicropila herbilytica	2785025	S	29	0	29	0.00000
Herbinix luporum	1679721	S	23	1	24	0.00000
Chakrabartyella piscis	2918914	S	20	0	20	0.00000
Sporofaciens musculi	2681861	S	12	0	12	0.00000
Anaeropeptidivorans aminofermentans	2934315	S	11	0	11	0.00000
Anaerotignum sp. MB30-C6	3070814	S	79	19	98	0.00001
Petrocella atlantisensis	2173034	S	54	1	55	0.00000
Vallitalea guaymasensis	1185412	S	22	0	22	0.00000
Defluviitalea saccharophila	879970	S	61	2	63	0.00000
Ruthenibacterium lactatiformans	1550024	S	134523	8589	143112	0.01077
Ruthenibacterium sp. TH_2024_36131	3136601	S	1864	392	2256	0.00017
Lawsonibacter asaccharolyticus	2108523	S	27891	2367	30258	0.00228
Flavonifractor plautii	292800	S	25183	2505	27688	0.00208
Dysosmobacter welbionis	2093857	S	19537	73704	93241	0.00702
Oscillibacter sp. PEA192	2109687	S	10794	43320	54114	0.00407
Oscillibacter hominis	2763056	S	1233	205	1438	0.00011
Pusillibacter faecalis	2714358	S	9599	959	10558	0.00079
Faecalibacterium sp. I3-3-89	2929493	S	449	106	555	0.00004
Faecalibacterium sp. i21-0019-B1	3141184	S	412	644	1056	0.00008
Faecalibacterium sp. i25-0019-C1	3141185	S	359	739	1098	0.00008
Faecalibacterium sp. I4-3-84	2929495	S	337	346	683	0.00005
Faecalibacterium sp. IP-3-29	2929489	S	268	247	515	0.00004
Faecalibacterium sp. IP-1-18	2929488	S	251	647	898	0.00007
Faecalibacterium sp. I3-3-33	2929492	S	212	69	281	0.00002
Faecalibacterium sp. I2-3-92	2929490	S	182	193	375	0.00003
Faecalibacterium sp. I4-1-79	2929494	S	170	84	254	0.00002
Faecalibacterium prausnitzii	853	S	1959	790	2749	0.00021
Faecalibacterium taiwanense	3030638	S	803	1230	2033	0.00015
Faecalibacterium duncaniae	411483	S	547	709	1256	0.00009
Faecalibacterium wellingii	2929491	S	38	19	57	0.00000
Anaerotruncus colihominis	169435	S	8152	1038	9190	0.00069
Solibaculum mannosilyticum	2780922	S	2536	541	3077	0.00023
Ruminococcus gauvreauii	438033	S	541	31	572	0.00004
Ruminococcus champanellensis	1161942	S	361	32	393	0.00003
Ruminococcus sp. SR1/5	657323	S	136	491	627	0.00005
Ruminococcus bovis	2564099	S	210	6	216	0.00002
Ruminococcus bicirculans (ex Wegman et al. 2014)	1160721	S	119	12	131	0.00001
Ruminococcus albus	1264	S	36	0	36	0.00000
Pseudoflavonifractor gallinarum	2779352	S	1310	140	1450	0.00011
Vescimonas coprocola	2714355	S	604	143	747	0.00006
Vescimonas fastidiosa	2714353	S	372	149	521	0.00004
Caproicibacterium argilliputei	3030016	S	577	75	652	0.00005
Caproicibacterium lactatifermentans	2666138	S	114	15	129	0.00001
Caproicibacterium sp. BJN0003	2994078	S	80	5	85	0.00001
Caproicibacterium amylolyticum	2766537	S	32	4	36	0.00000
Subdoligranulum variabile	214851	S	406	109	515	0.00004
uncultured Subdoligranulum sp.	512298	S	277	103	380	0.00003
Paludicola sp. MB14-C6	3070656	S	69	0	69	0.00001
Thermocaproicibacter melissae	2966552	S	68	2	70	0.00001
Ethanoligenens harbinense	253239	S	64	2	66	0.00000
Ruminiclostridium herbifermentans	2488810	S	20	1	21	0.00000
Ruminiclostridium cellulolyticum	1521	S	19	4	23	0.00000
Mageeibacillus indolicus	884684	S	24	3	27	0.00000
Acetivibrio thermocellus	1515	S	12	1	13	0.00000
Petroclostridium sp. X23	3045146	S	18	0	18	0.00000
Fastidiosipila sanguinis	236753	S	11	0	11	0.00000
Clostridium sp. C45	3373596	S	51009	7177	58186	0.00438
Clostridium sp. M62/1	411486	S	1025	250	1275	0.00010
Clostridium sp. MD294	97138	S	245	3	248	0.00002
Clostridium sp. SY8519	1042156	S	65	3	68	0.00001
Clostridium sp. JN-9	2507159	S	28	1	29	0.00000
Clostridium sp. C1	1155388	S	24	49	73	0.00001
Clostridium sp. LQ25	2992805	S	23	142	165	0.00001
Clostridium sp. MB40-C1	3070996	S	10	0	10	0.00000
Clostridium sp. 'deep sea'	2779445	S	10	0	10	0.00000
Clostridium perfringens	1502	S	623	696	1319	0.00010
Clostridium bornimense	1216932	S	190	12	202	0.00002
Clostridium cadaveris	1529	S	144	7	151	0.00001
Clostridium thermosuccinogenes	84032	S	42	2	44	0.00000
Clostridium culturomicium	1499683	S	28	0	28	0.00000
Clostridium estertheticum	238834	S	16	0	16	0.00000
Clostridium gelidum	704125	S	13	0	13	0.00000
Clostridium argentinense	29341	S	12	0	12	0.00000
Clostridium kluyveri	1534	S	11	0	11	0.00000
Clostridium intestinale	36845	S	10	0	10	0.00000
Lactonifactor longoviformis	341220	S	1197	68	1265	0.00010
Proteiniclasticum sp. QWL-01	3036945	S	60	5	65	0.00000
Haloimpatiens lingqiaonensis	1380675	S	15	4	19	0.00000
Eubacterium callanderi	53442	S	25041	7277	32318	0.00243
Eubacterium maltosivorans	2041044	S	2536	292	2828	0.00021
Eubacterium limosum	1736	S	1933	395	2328	0.00018
Eubacterium ramulus	39490	S	1354	191	1545	0.00012
Eubacterium ventriosum	39496	S	310	33	343	0.00003
Eubacterium sp. MSJ-33	2841528	S	49	5	54	0.00000
Acetobacterium wieringae	52694	S	65	9	74	0.00001
Acetobacterium sp. KB-1	2184575	S	31	5	36	0.00000
Alkalibacter rhizosphaerae	2815577	S	10	0	10	0.00000
Intestinimonas butyriciproducens	1297617	S	11358	869	12227	0.00092
Flintibacter sp. KGMB00164	2610895	S	4632	437	5069	0.00038
Massilistercora timonensis	2086584	S	1653	471	2124	0.00016
Sinanaerobacter sp. ZZT-01	3111540	S	19	0	19	0.00000
Proteiniborus sp. MB09-C3	3050072	S	15	0	15	0.00000
Agathobaculum sp. NTUH-O15-33	3079302	S	1894	46	1940	0.00015
Agathobaculum massiliense	3014267	S	82	433	515	0.00004
